station,channel,stla,stlo,stel,network
ALS,EHE,23.5083,120.813,0,CWB
ALS,EHN,23.5083,120.813,0,CWB
ALS,EHZ,23.5083,120.813,0,CWB
CHK,EHE,23.0977,121.373,0,CWB
CHK,EHN,23.0977,121.373,0,CWB
CHK,EHZ,23.0977,121.373,0,CWB
CHN1,EHE,23.185,120.528,0,CWB
CHN1,EHN,23.185,120.528,0,CWB
CHN1,EHZ,23.185,120.528,0,CWB
CHN2,EHE,23.5319,120.474,0,CWB
CHN2,EHN,23.5319,120.474,0,CWB
CHN2,EHZ,23.5319,120.474,0,CWB
CHN3,EHE,23.0756,120.365,0,CWB
CHN3,EHN,23.0756,120.365,0,CWB
CHN3,EHZ,23.0756,120.365,0,CWB
CHN4,EHE,23.3513,120.594,0,CWB
CHN4,EHN,23.3513,120.594,0,CWB
CHN4,EHZ,23.3513,120.594,0,CWB
CHN5,EHE,23.5973,120.677,0,CWB
CHN5,EHN,23.5973,120.677,0,CWB
CHN5,EHZ,23.5973,120.677,0,CWB
CHN8,EHE,23.3471,120.223,0,CWB
CHN8,EHN,23.3471,120.223,0,CWB
CHN8,EHZ,23.3471,120.223,0,CWB
CHY,EHE,23.4961,120.433,0,CWB
CHY,EHN,23.4961,120.433,0,CWB
CHY,EHZ,23.4961,120.433,0,CWB
EAS,EHE,22.3814,120.857,0,CWB
EAS,EHN,22.3814,120.857,0,CWB
EAS,EHZ,22.3814,120.857,0,CWB
ECL,EHE,22.5961,120.962,0,CWB
ECL,EHN,22.5961,120.962,0,CWB
ECL,EHZ,22.5961,120.962,0,CWB
EGS,EHE,24.842,121.944,0,CWB
EGS,EHN,24.842,121.944,0,CWB
EGS,EHZ,24.842,121.944,0,CWB
EHY,EHE,23.5038,121.328,0,CWB
EHY,EHN,23.5038,121.328,0,CWB
EHY,EHZ,23.5038,121.328,0,CWB
ELD,EHE,23.187,121.025,0,CWB
ELD,EHN,23.187,121.025,0,CWB
ELD,EHZ,23.187,121.025,0,CWB
ENA,EHE,24.4259,121.749,0,CWB
ENA,EHN,24.4259,121.749,0,CWB
ENA,EHZ,24.4259,121.749,0,CWB
ENT,EHE,24.6373,121.574,0,CWB
ENT,EHN,24.6373,121.574,0,CWB
ENT,EHZ,24.6373,121.574,0,CWB
ESL,EHE,23.8118,121.442,0,CWB
ESL,EHN,23.8118,121.442,0,CWB
ESL,EHZ,23.8118,121.442,0,CWB
HEN,EHE,22.0037,120.746,0,CWB
HEN,EHN,22.0037,120.746,0,CWB
HEN,EHZ,22.0037,120.746,0,CWB
HSN,EHE,24.8281,121.014,0,CWB
HSN,EHN,24.8281,121.014,0,CWB
HSN,EHZ,24.8281,121.014,0,CWB
HWA,EHE,23.9752,121.613,0,CWB
HWA,EHN,23.9752,121.613,0,CWB
HWA,EHZ,23.9752,121.613,0,CWB
ILA,EHE,24.7636,121.756,0,CWB
ILA,EHN,24.7636,121.756,0,CWB
ILA,EHZ,24.7636,121.756,0,CWB
KAU,EHE,22.5662,120.316,0,CWB
KAU,EHN,22.5662,120.316,0,CWB
KAU,EHZ,22.5662,120.316,0,CWB
KNM,EHE,24.4074,118.289,0,CWB
KNM,EHN,24.4074,118.289,0,CWB
KNM,EHZ,24.4074,118.289,0,CWB
LAY,EHE,22.0373,121.558,0,CWB
LAY,EHN,22.0373,121.558,0,CWB
LAY,EHZ,22.0373,121.558,0,CWB
NCU,EHE,24.9673,121.194,0,CWB
NCU,EHN,24.9673,121.194,0,CWB
NCU,EHZ,24.9673,121.194,0,CWB
NNS,EHE,24.4375,121.381,0,CWB
NNS,EHN,24.4375,121.381,0,CWB
NNS,EHZ,24.4375,121.381,0,CWB
NSK,EHE,24.6738,121.367,0,CWB
NSK,EHN,24.6738,121.367,0,CWB
NSK,EHZ,24.6738,121.367,0,CWB
NST,EHE,24.6294,121.009,0,CWB
NST,EHN,24.6294,121.009,0,CWB
NST,EHZ,24.6294,121.009,0,CWB
NSY,EHE,24.4143,120.77,0,CWB
NSY,EHN,24.4143,120.77,0,CWB
NSY,EHZ,24.4143,120.77,0,CWB
NWF,EHE,25.0717,121.781,0,CWB
NWF,EHN,25.0717,121.781,0,CWB
NWF,EHZ,25.0717,121.781,0,CWB
PCY,EHE,25.6276,122.08,0,CWB
PCY,EHN,25.6276,122.08,0,CWB
PCY,EHZ,25.6276,122.08,0,CWB
PNG,EHE,23.565,119.564,0,CWB
PNG,EHN,23.565,119.564,0,CWB
PNG,EHZ,23.565,119.564,0,CWB
SCL,EHE,23.1734,120.202,0,CWB
SCL,EHN,23.1734,120.202,0,CWB
SCL,EHZ,23.1734,120.202,0,CWB
SCZ,EHE,22.3703,120.628,0,CWB
SCZ,EHN,22.3703,120.628,0,CWB
SCZ,EHZ,22.3703,120.628,0,CWB
SEB,EHE,21.9009,120.855,0,CWB
SEB,EHN,21.9009,120.855,0,CWB
SEB,EHZ,21.9009,120.855,0,CWB
SGL,EHE,22.7238,120.499,0,CWB
SGL,EHN,22.7238,120.499,0,CWB
SGL,EHZ,22.7238,120.499,0,CWB
SGS,EHE,23.0804,120.591,0,CWB
SGS,EHN,23.0804,120.591,0,CWB
SGS,EHZ,23.0804,120.591,0,CWB
SML,EHE,23.8814,120.908,0,CWB
SML,EHN,23.8814,120.908,0,CWB
SML,EHZ,23.8814,120.908,0,CWB
SSD,EHE,22.7443,120.64,0,CWB
SSD,EHN,22.7443,120.64,0,CWB
SSD,EHZ,22.7443,120.64,0,CWB
STY,EHE,23.1607,120.766,0,CWB
STY,EHN,23.1607,120.766,0,CWB
STY,EHZ,23.1607,120.766,0,CWB
TAI1,EHE,23.038,120.237,0,CWB
TAI1,EHN,23.038,120.237,0,CWB
TAI1,EHZ,23.038,120.237,0,CWB
TAP1,EHE,25.0373,121.514,0,CWB
TAP1,EHN,25.0373,121.514,0,CWB
TAP1,EHZ,25.0373,121.514,0,CWB
TAP,EHE,25.0373,121.514,0,CWB
TAP,EHN,25.0373,121.514,0,CWB
TAP,EHZ,25.0373,121.514,0,CWB
TAW,EHE,22.3558,120.904,0,CWB
TAW,EHN,22.3558,120.904,0,CWB
TAW,EHZ,22.3558,120.904,0,CWB
TCU,EHE,24.1456,120.684,0,CWB
TCU,EHN,24.1456,120.684,0,CWB
TCU,EHZ,24.1456,120.684,0,CWB
TTN,EHE,22.7522,121.155,0,CWB
TTN,EHN,22.7522,121.155,0,CWB
TTN,EHZ,22.7522,121.155,0,CWB
TWA,EHE,24.9778,121.592,0,CWB
TWA,EHN,24.9778,121.592,0,CWB
TWA,EHZ,24.9778,121.592,0,CWB
TWB1,EHE,25.0069,121.997,0,CWB
TWB1,EHN,25.0069,121.997,0,CWB
TWB1,EHZ,25.0069,121.997,0,CWB
TWC,EHE,24.6081,121.859,0,CWB
TWC,EHN,24.6081,121.859,0,CWB
TWC,EHZ,24.6081,121.859,0,CWB
TWD,EHE,24.0811,121.605,0,CWB
TWD,EHN,24.0811,121.605,0,CWB
TWD,EHZ,24.0811,121.605,0,CWB
TWE,EHE,24.7181,121.683,0,CWB
TWE,EHN,24.7181,121.683,0,CWB
TWE,EHZ,24.7181,121.683,0,CWB
TWF1,EHE,23.351,121.305,0,CWB
TWF1,EHN,23.351,121.305,0,CWB
TWF1,EHZ,23.351,121.305,0,CWB
TWG,EHE,22.8176,121.08,0,CWB
TWG,EHN,22.8176,121.08,0,CWB
TWG,EHZ,22.8176,121.08,0,CWB
TWK1,EHE,21.9401,120.814,0,CWB
TWK1,EHN,21.9401,120.814,0,CWB
TWK1,EHZ,21.9401,120.814,0,CWB
TWL,EHE,23.2638,120.502,0,CWB
TWL,EHN,23.2638,120.502,0,CWB
TWL,EHZ,23.2638,120.502,0,CWB
TWM1,EHE,22.8215,120.431,0,CWB
TWM1,EHN,22.8215,120.431,0,CWB
TWM1,EHZ,22.8215,120.431,0,CWB
TWQ1,EHE,24.3465,120.781,0,CWB
TWQ1,EHN,24.3465,120.781,0,CWB
TWQ1,EHZ,24.3465,120.781,0,CWB
TWS1,EHE,25.1015,121.423,0,CWB
TWS1,EHN,25.1015,121.423,0,CWB
TWS1,EHZ,25.1015,121.423,0,CWB
TWT,EHE,24.249,121.162,0,CWB
TWT,EHN,24.249,121.162,0,CWB
TWT,EHZ,24.249,121.162,0,CWB
TWY,EHE,25.2727,121.607,0,CWB
TWY,EHN,25.2727,121.607,0,CWB
TWY,EHZ,25.2727,121.607,0,CWB
TYC,EHE,23.9051,120.87,0,CWB
TYC,EHN,23.9051,120.87,0,CWB
TYC,EHZ,23.9051,120.87,0,CWB
WDG,EHE,23.2572,119.668,0,CWB
WDG,EHN,23.2572,119.668,0,CWB
WDG,EHZ,23.2572,119.668,0,CWB
WDT,EHE,23.7537,121.141,0,CWB
WDT,EHN,23.7537,121.141,0,CWB
WDT,EHZ,23.7537,121.141,0,CWB
WGK,EHE,23.6845,120.57,0,CWB
WGK,EHN,23.6845,120.57,0,CWB
WGK,EHZ,23.6845,120.57,0,CWB
WHF,EHE,24.1434,121.272,0,CWB
WHF,EHN,24.1434,121.272,0,CWB
WHF,EHZ,24.1434,121.272,0,CWB
WLC,EHE,22.3467,120.369,0,CWB
WLC,EHN,22.3467,120.369,0,CWB
WLC,EHZ,22.3467,120.369,0,CWB
WNT,EHE,23.8766,120.692,0,CWB
WNT,EHN,23.8766,120.692,0,CWB
WNT,EHZ,23.8766,120.692,0,CWB
WSF,EHE,23.6364,120.23,0,CWB
WSF,EHN,23.6364,120.23,0,CWB
WSF,EHZ,23.6364,120.23,0,CWB
WTC,EHE,23.8615,120.289,0,CWB
WTC,EHN,23.8615,120.289,0,CWB
WTC,EHZ,23.8615,120.289,0,CWB
WTP,EHE,23.2437,120.622,0,CWB
WTP,EHN,23.2437,120.622,0,CWB
WTP,EHZ,23.2437,120.622,0,CWB
YUS,EHE,23.4873,120.959,0,CWB
YUS,EHN,23.4873,120.959,0,CWB
YUS,EHZ,23.4873,120.959,0,CWB
